Repository,PR Number,PR URL,Created At,Merged At,Merge Time
daeuniverse/dae-wing,113,https://github.com/daeuniverse/dae-wing/pull/113,2023-08-19T04:03:20,2023-08-20T16:27:01,36:23:41
aiplanethub/genai-stack,24,https://github.com/aiplanethub/genai-stack/pull/24,2023-08-31T10:23:49,2023-09-05T06:16:59,115:53:10
Sambath-Kumar-M/Portfolio,2,https://github.com/Sambath-Kumar-M/Portfolio/pull/2,2023-08-27T11:47:52,2023-08-27T11:47:58,00:00:06
open-learning-exchange/myplanet,2209,https://github.com/open-learning-exchange/myplanet/pull/2209,2023-07-14T08:50:04,2023-07-26T12:16:29,291:26:25
open-learning-exchange/myplanet,2211,https://github.com/open-learning-exchange/myplanet/pull/2211,2023-07-17T14:10:08,2023-07-20T09:59:31,67:49:23
open-learning-exchange/myplanet,2238,https://github.com/open-learning-exchange/myplanet/pull/2238,2023-07-24T13:10:46,2023-07-24T16:26:08,03:15:22
xebia-functional/xef,327,https://github.com/xebia-functional/xef/pull/327,2023-08-15T21:53:27,2023-08-16T15:09:37,17:16:10
poki/netlib,51,https://github.com/poki/netlib/pull/51,2023-08-23T09:07:33,2023-08-25T08:31:33,47:24:00
tisztamo/Junior,48,https://github.com/tisztamo/Junior/pull/48,2023-08-10T08:44:25,2023-08-10T08:44:37,00:00:12
tisztamo/Junior,50,https://github.com/tisztamo/Junior/pull/50,2023-08-10T13:35:40,2023-08-10T13:35:50,00:00:10
QRTaxi/QRTaxi_Web,32,https://github.com/QRTaxi/QRTaxi_Web/pull/32,2023-08-15T07:29:08,2023-08-15T07:29:37,00:00:29
QRTaxi/QRTaxi_Web,37,https://github.com/QRTaxi/QRTaxi_Web/pull/37,2023-08-16T09:19:15,2023-08-16T09:20:28,00:01:13
MERLTech/MERL-Center-public,111,https://github.com/MERLCenter/MERL-Center-public/pull/111,2023-05-03T05:53:48,2023-05-03T05:54:05,00:00:17
SSWConsulting/SSW.Rules.Content,6238,https://github.com/SSWConsulting/SSW.Rules.Content/pull/6238,2023-08-04T20:35:20,2023-08-08T00:41:59,76:06:39
Stivaros/blog,427,https://github.com/Stivaros/blog/pull/427,2023-07-28T07:46:04,2023-07-28T07:48:37,00:02:33
