RepoName,PR Number,PR URL,State,CommentsCount,CommitsTotalCount,Duration Created to Closed,Duration Created to Merged
daeuniverse/dae-wing,115,https://github.com/daeuniverse/dae-wing/pull/115,OPEN,0,2,,
FlorianWoelki/obsidian-symbols-prettifier,7,https://github.com/FlorianWoelki/obsidian-symbols-prettifier/pull/7,OPEN,0,2,,
labdao/plex,469,https://github.com/labdao/plex/pull/469,OPEN,2,1,,
labdao/plex,468,https://github.com/labdao/plex/pull/468,OPEN,2,1,,
mlc-ai/web-stable-diffusion,52,https://github.com/mlc-ai/web-stable-diffusion/pull/52,OPEN,1,12,,
ActivityWatch/aw-webui,455,https://github.com/ActivityWatch/aw-webui/pull/455,OPEN,1,1,,
aiplanethub/genai-stack,21,https://github.com/aiplanethub/genai-stack/pull/21,OPEN,0,5,,
Sambath-Kumar-M/Portfolio,1,https://github.com/Sambath-Kumar-M/Portfolio/pull/1,MERGED,0,1,0:00:11,0:00:11
open-learning-exchange/myplanet,2229,https://github.com/open-learning-exchange/myplanet/pull/2229,MERGED,0,5,"3 days, 20:03:12","3 days, 20:03:12"
open-learning-exchange/myplanet,2232,https://github.com/open-learning-exchange/myplanet/pull/2232,MERGED,0,5,"3 days, 19:47:57","3 days, 19:47:57"
xebia-functional/xef,343,https://github.com/xebia-functional/xef/pull/343,OPEN,0,6,,
poki/netlib,50,https://github.com/poki/netlib/pull/50,MERGED,0,1,0:06:35,0:06:35
open-learning-exchange/myplanet,2214,https://github.com/open-learning-exchange/myplanet/pull/2214,CLOSED,0,1,"3 days, 1:17:56",
tinygrad/tinygrad,1661,https://github.com/tinygrad/tinygrad/pull/1661,OPEN,7,30,,
metaphorsystems/metaphor-python,5,https://github.com/metaphorsystems/metaphor-python/pull/5,MERGED,0,1,0:02:21,0:02:21
open-learning-exchange/myplanet,2231,https://github.com/open-learning-exchange/myplanet/pull/2231,MERGED,0,5,"3 days, 19:21:34","3 days, 19:21:34"
open-learning-exchange/myplanet,2230,https://github.com/open-learning-exchange/myplanet/pull/2230,MERGED,0,6,"3 days, 20:35:57","3 days, 20:35:57"
tisztamo/Junior,55,https://github.com/tisztamo/Junior/pull/55,MERGED,0,1,0:00:07,0:00:06
MikaelJG/textract,1,https://github.com/MikaelJG/textract/pull/1,MERGED,1,10,0:29:14,0:29:13
open-learning-exchange/myplanet,2212,https://github.com/open-learning-exchange/myplanet/pull/2212,CLOSED,0,1,"3 days, 1:45:40",
plantoncloud/kube-client-go-aws-credential-plugin,1,https://github.com/plantoncloud/kube-client-go-aws-credential-plugin/pull/1,MERGED,1,1,0:00:06,0:00:06
KomodoPlatform/komodo-wallet-mobile,37,https://github.com/KomodoPlatform/komodo-wallet-mobile/pull/37,OPEN,4,24,,
QRTaxi/QRTaxi_Web,29,https://github.com/QRTaxi/QRTaxi_Web/pull/29,MERGED,0,5,0:18:17,0:18:17
tisztamo/Junior,36,https://github.com/tisztamo/Junior/pull/36,MERGED,0,2,0:01:22,0:01:22
MERLTech/MERL-Center-public,112,https://github.com/MERLTech/MERL-Center-public/pull/112,OPEN,3,22,,
SSWConsulting/SSW.Rules.Content,6250,https://github.com/SSWConsulting/SSW.Rules.Content/pull/6250,MERGED,0,1,5:45:40,5:45:40
Stivaros/blog,426,https://github.com/Stivaros/blog/pull/426,MERGED,0,1,0:01:41,0:01:41
daeuniverse/dae,300,https://github.com/daeuniverse/dae/pull/300,MERGED,1,2,9:24:30,9:24:29
microsoft/visionmetrics,42,https://github.com/microsoft/visionmetrics/pull/42,OPEN,1,11,,
