RepoName,PR Number,PR URL,State,CommentsCount,CommitsTotalCount,Duration Created to Closed,Duration Created to Merged
aiplanethub/genai-stack,22,https://github.com/aiplanethub/genai-stack/pull/22,MERGED,0,6,"1 day, 21:09:41","1 day, 21:09:41"
open-learning-exchange/myplanet,2210,https://github.com/open-learning-exchange/myplanet/pull/2210,MERGED,0,6,"3 days, 0:44:00","3 days, 0:44:00"
open-learning-exchange/myplanet,2211,https://github.com/open-learning-exchange/myplanet/pull/2211,MERGED,0,5,"2 days, 19:49:23","2 days, 19:49:23"
open-learning-exchange/myplanet,2221,https://github.com/open-learning-exchange/myplanet/pull/2221,MERGED,0,5,"8 days, 3:44:17","8 days, 3:44:17"
open-learning-exchange/myplanet,2223,https://github.com/open-learning-exchange/myplanet/pull/2223,CLOSED,1,8,"1 day, 0:47:35",
open-learning-exchange/myplanet,2224,https://github.com/open-learning-exchange/myplanet/pull/2224,CLOSED,0,18,"8 days, 22:49:04",
open-learning-exchange/myplanet,2225,https://github.com/open-learning-exchange/myplanet/pull/2225,MERGED,0,6,"6 days, 22:00:03","6 days, 22:00:03"
open-learning-exchange/myplanet,2227,https://github.com/open-learning-exchange/myplanet/pull/2227,MERGED,1,5,0:20:53,0:20:53
xebia-functional/xef,342,https://github.com/xebia-functional/xef/pull/342,MERGED,0,1,0:38:22,0:38:22
tinygrad/tinygrad,1656,https://github.com/tinygrad/tinygrad/pull/1656,CLOSED,3,3,"2 days, 22:39:44",
tinygrad/tinygrad,1657,https://github.com/tinygrad/tinygrad/pull/1657,MERGED,0,5,20:46:20,20:46:20
tinygrad/tinygrad,1659,https://github.com/tinygrad/tinygrad/pull/1659,MERGED,3,2,"6 days, 4:52:00","6 days, 4:52:00"
tinygrad/tinygrad,1660,https://github.com/tinygrad/tinygrad/pull/1660,CLOSED,3,2,0:07:19,
tinygrad/tinygrad,1662,https://github.com/tinygrad/tinygrad/pull/1662,MERGED,2,1,0:48:57,0:48:57
tinygrad/tinygrad,1663,https://github.com/tinygrad/tinygrad/pull/1663,MERGED,0,1,0:23:41,0:23:41
tinygrad/tinygrad,1664,https://github.com/tinygrad/tinygrad/pull/1664,MERGED,2,1,1:06:29,1:06:29
tisztamo/Junior,48,https://github.com/tisztamo/Junior/pull/48,MERGED,0,7,0:00:12,0:00:12
tisztamo/Junior,49,https://github.com/tisztamo/Junior/pull/49,MERGED,0,17,0:05:29,0:05:28
tisztamo/Junior,50,https://github.com/tisztamo/Junior/pull/50,MERGED,0,6,0:00:10,0:00:10
tisztamo/Junior,57,https://github.com/tisztamo/Junior/pull/57,MERGED,0,12,0:00:06,0:00:06
QRTaxi/QRTaxi_Web,27,https://github.com/QRTaxi/QRTaxi_Web/pull/27,MERGED,0,2,3:24:06,3:24:06
QRTaxi/QRTaxi_Web,28,https://github.com/QRTaxi/QRTaxi_Web/pull/28,MERGED,0,4,10:33:47,10:33:47
