ChatGPT PR,Non-ChatGPT PR
https://github.com/daeuniverse/dae-wing/pull/115,https://github.com/daeuniverse/dae-wing/pull/113
https://github.com/labdao/plex/pull/469,https://github.com/labdao/plex/pull/459
https://github.com/labdao/plex/pull/468,https://github.com/labdao/plex/pull/457
https://github.com/aiplanethub/genai-stack/pull/21,https://github.com/aiplanethub/genai-stack/pull/24
https://github.com/Sambath-Kumar-M/Portfolio/pull/1,https://github.com/Sambath-Kumar-M/Portfolio/pull/2
https://github.com/open-learning-exchange/myplanet/pull/2229,https://github.com/open-learning-exchange/myplanet/pull/2211
https://github.com/open-learning-exchange/myplanet/pull/2214,https://github.com/open-learning-exchange/myplanet/pull/2208
https://github.com/open-learning-exchange/myplanet/pull/2213,https://github.com/open-learning-exchange/myplanet/pull/2238
https://github.com/tinygrad/tinygrad/pull/1661,https://github.com/tinygrad/tinygrad/pull/1716
https://github.com/QRTaxi/QRTaxi_Web/pull/29,https://github.com/QRTaxi/QRTaxi_Web/pull/37
https://github.com/QRTaxi/QRTaxi_Web/pull/26,https://github.com/QRTaxi/QRTaxi_Web/pull/32
https://github.com/MERLTech/MERL-Center-public/pull/112,https://github.com/MERLCenter/MERL-Center-public/pull/111
https://github.com/Stivaros/blog/pull/426,https://github.com/Stivaros/blog/pull/427
https://github.com/microsoft/visionmetrics/pull/42,https://github.com/microsoft/visionmetrics/pull/39
https://github.com/comfyanonymous/ComfyUI/pull/1115,https://github.com/comfyanonymous/ComfyUI/pull/1169
https://github.com/IararIV/karaok.ai/pull/1,https://github.com/IararIV/karaok.ai/pull/3
https://github.com/PYT-Acadamy/PYT-Acadamy.github.io/pull/20,https://github.com/PYT-Acadamy/PYT-Acadamy.github.io/pull/13
https://github.com/radix-vue/radix-vue/pull/100,https://github.com/radix-vue/radix-vue/pull/48
https://github.com/RupertBenWiser/Web-Environment-Integrity/pull/82,https://github.com/RupertBenWiser/Web-Environment-Integrity/pull/81
https://github.com/GaloyMoney/galoy-mobile/pull/2403,https://github.com/GaloyMoney/galoy-mobile/pull/2371
https://github.com/sarcophagus-org/sarcophagus-v2-sdk/pull/23,https://github.com/sarcophagus-org/sarcophagus-v2-sdk/pull/26
https://github.com/Feijai/Lunar/pull/45,https://github.com/Feijai/Lunar/pull/44
https://github.com/ECMaker/blog/pull/24,https://github.com/ECMaker/blog/pull/26
https://github.com/mlhmz/family-task-tracking/pull/80,https://github.com/mlhmz/family-task-tracking/pull/86
https://github.com/TeamCodeStream/codestream/pull/1638,https://github.com/TeamCodeStream/codestream/pull/1632
https://github.com/huseyinbagator/react-demo-todo-app/pull/8,https://github.com/huseyinbagator/react-demo-todo-app/pull/5
https://github.com/livingbio/gpt-fn/pull/4,https://github.com/livingbio/gpt-fn/pull/37
https://github.com/code-in-design/pass-frontend/pull/21,https://github.com/code-in-design/pass-frontend/pull/20
https://github.com/millwheel/delivery-application/pull/1,https://github.com/millwheel/delivery-application/pull/2
https://github.com/monarch-initiative/oai-monarch-plugin/pull/39,https://github.com/monarch-initiative/oai-monarch-plugin/pull/38
https://github.com/lcompilers/lpython/pull/1885,https://github.com/lcompilers/lpython/pull/1902
https://github.com/2Abendsegler/GClh/pull/2376,https://github.com/2Abendsegler/GClh/pull/2368
https://github.com/bloxapp/ssv-web/pull/277,https://github.com/bloxapp/ssv-web/pull/273
https://github.com/SchemaStore/schemastore/pull/3002,https://github.com/SchemaStore/schemastore/pull/3007
https://github.com/prgrms-be-devcourse/springboot-jpa/pull/248,https://github.com/prgrms-be-devcourse/springboot-jpa/pull/259
https://github.com/roslinmahmud/easy-hire-backend/pull/11,https://github.com/roslinmahmud/easy-hire-backend/pull/3
https://github.com/temporalio/temporal/pull/4558,https://github.com/temporalio/temporal/pull/4573
https://github.com/ykdojo/kaguya/pull/16,https://github.com/ykdojo/kaguya/pull/17
https://github.com/maro114510/Markdown_Viewer/pull/83,https://github.com/maro114510/Markdown_Viewer/pull/66
https://github.com/SSWConsulting/SSW.Website/pull/931,https://github.com/SSWConsulting/SSW.Website/pull/956
