Repository,PR Count,Sample Size,ChatGPT Size
openai/evals,380.0,192.0,2
gravitational/teleport,358.0,186.0,1
SSWConsulting/SSW.Website,276.0,161.0,2
netdata/netdata,228.0,144.0,2
jhipster/generator-jhipster,190.0,128.0,1
mdn/content,185.0,126.0,1
binary-com/deriv-app,174.0,120.0,1
SSWConsulting/SSW.Rules.Content,167.0,117.0,1
tinygrad/tinygrad,132.0,99.0,1
ggerganov/llama.cpp,128.0,97.0,3
GaloyMoney/galoy-mobile,117.0,90.0,2
prgrms-be-devcourse/springboot-jpa,100.0,80.0,1
rails/rails,94.0,76.0,1
reworkd/AgentGPT,93.0,76.0,1
VOICEVOX/voicevox,91.0,74.0,5
unoplatform/uno,85.0,70.0,1
PostHog/posthog.com,77.0,65.0,1
dust-tt/dust,74.0,63.0,1
dotCMS/core,74.0,63.0,1
gradio-app/gradio,72.0,61.0,1
radix-vue/radix-vue,69.0,59.0,1
zkSNACKs/WalletWasabi,68.0,58.0,1
app-sre/qontract-reconcile,59.0,52.0,1
temporalio/temporal,52.0,46.0,1
PolicyEngine/policyengine-us,52.0,46.0,1
lfortran/lfortran,52.0,46.0,1
osmosis-labs/osmosis-frontend,50.0,45.0,1
QRTaxi/QRTaxi_Web,44.0,40.0,2
sashabaranov/go-openai,43.0,39.0,1
danny-avila/LibreChat,43.0,39.0,1
TeamCodeStream/codestream,39.0,36.0,1
CodeIntelligenceTesting/cifuzz,34.0,32.0,1
xebia-functional/xef,33.0,31.0,1
skrub-data/skrub,32.0,30.0,1
jst-seminar-rostlab-tum/truffle-ai-backend,31.0,29.0,1
snapshot-labs/snapshot,31.0,29.0,1
KudoAI/chatgpt.js,29.0,28.0,1
ubiquity/ubiquibot,28.0,27.0,1
torrust/torrust-index-frontend,28.0,27.0,1
mlhmz/family-task-tracking,28.0,27.0,1
OpenAdaptAI/OpenAdapt,27.0,26.0,1
SchemaStore/schemastore,27.0,26.0,1
OSRSB/OsrsBot,27.0,26.0,1
comfyanonymous/ComfyUI,27.0,26.0,1
PYT-Acadamy/PYT-Acadamy.github.io,26.0,25.0,1
lcompilers/lpython,26.0,25.0,1
VOICEVOX/voicevox_core,21.0,20.0,3
jojazpeitia/skinguessr,21.0,20.0,1
swarmion/swarmion,21.0,20.0,1
SWM14-Architect/moview-core-service,20.0,20.0,1
livingbio/gpt-fn,19.0,19.0,1
wafflestudio/wacruit-server,19.0,19.0,1
maro114510/Markdown_Viewer,18.0,18.0,1
faker-js/faker,18.0,18.0,1
decred/dcrdex,17.0,17.0,1
bloxapp/ssv-web,17.0,17.0,1
open-learning-exchange/myplanet,17.0,17.0,9
ubiquity/ubiquity-dollar,16.0,16.0,1
qin-team-recipe/05-recipe-app,16.0,16.0,1
JushBJJ/Mr.-Ranedeer-AI-Tutor,15.0,15.0,1
wahanegi/vibereport,15.0,15.0,1
paul-gauthier/aider,15.0,15.0,1
RupertBenWiser/Web-Environment-Integrity,14.0,14.0,1
Miller-RS/DistributedMiningNetwork,14.0,14.0,1
roboflow/supervision,14.0,14.0,1
konfuzio-ai/konfuzio-sdk,12.0,12.0,1
RND247/Pype-Synthetic-Data-for-Testing,12.0,12.0,1
labdao/plex,11.0,11.0,2
Hochfrequenz/kohlrahbi,11.0,11.0,1
2Abendsegler/GClh,11.0,11.0,1
code-in-design/pass-frontend,11.0,11.0,1
PrivateBin/PrivateBin,11.0,11.0,1
databrickslabs/pyspark-ai,10.0,10.0,1
KomodoPlatform/komodo-wallet-mobile,10.0,10.0,1
sleepyRias/BetterSteam,10.0,10.0,1
MrNeRF/gaussian-splatting-cuda,10.0,10.0,1
PaulRBerg/prb-proxy,10.0,10.0,1
Feijai/Lunar,10.0,10.0,1
roslinmahmud/easy-hire-backend,9.0,9.0,1
tisztamo/Junior,9.0,9.0,2
ykdojo/kaguya,8.0,8.0,1
daeuniverse/dae,8.0,8.0,1
kazuki1023/template_ph3_website_private,8.0,8.0,1
dswcodes0/StatChat,8.0,8.0,1
labd/terraform-provider-storyblok,8.0,8.0,1
dwyl/imgup,8.0,8.0,1
aiplanethub/genai-stack,8.0,8.0,1
astahmer/openapi-zod-client,7.0,7.0,1
mindee/doctr,7.0,7.0,1
microsoft/visionmetrics,7.0,7.0,1
bytedeck/bytedeck,6.0,6.0,1
Theta-Limited/OpenAthenaAndroid,6.0,6.0,4
rust-lang/rfcs,6.0,6.0,1
sarcophagus-org/sarcophagus-v2-sdk,6.0,6.0,1
huseyinbagator/react-demo-todo-app,6.0,6.0,1
JJConsulting/JJMasterData,6.0,6.0,1
arrocke/gloss-translation,6.0,6.0,1
picobyte/stable-diffusion-webui-wd14-tagger,6.0,6.0,1
nbd-wtf/nostr-tools,5.0,5.0,1
