Repository,PR Number,PR Title,Created At,URL
FlorianWoelki/obsidian-symbols-prettifier,7,Fix constructor being converted to undefined,2023-08-23 14:17:59,https://github.com/FlorianWoelki/obsidian-symbols-prettifier/pull/7
mlc-ai/web-stable-diffusion,1,Add tools for RPC testing,2023-03-12 18:35:58,https://github.com/mlc-ai/web-stable-diffusion/pull/1
mlc-ai/web-stable-diffusion,2,[Scheduler] Multistep DPM-solver for Python side,2023-03-12 19:51:32,https://github.com/mlc-ai/web-stable-diffusion/pull/2
mlc-ai/web-stable-diffusion,3,[Web] Multistep DPM-solver for web side,2023-03-12 22:12:26,https://github.com/mlc-ai/web-stable-diffusion/pull/3
mlc-ai/web-stable-diffusion,4,"Walkthrough notebook and README with ""get started""",2023-03-13 19:30:53,https://github.com/mlc-ai/web-stable-diffusion/pull/4
mlc-ai/web-stable-diffusion,5,refact: walkthrough Linuxified; auto-detect target for build,2023-03-14 20:03:29,https://github.com/mlc-ai/web-stable-diffusion/pull/5
mlc-ai/web-stable-diffusion,6,[Debug] Add RPC lib compare tool,2023-03-15 00:08:05,https://github.com/mlc-ai/web-stable-diffusion/pull/6
mlc-ai/web-stable-diffusion,7,[Database] Update database with no spatial block loop unroll,2023-03-15 00:19:34,https://github.com/mlc-ai/web-stable-diffusion/pull/7
mlc-ai/web-stable-diffusion,9,[Notebook] TVMCon 2023 day 1 tutorial,2023-03-16 00:29:01,https://github.com/mlc-ai/web-stable-diffusion/pull/9
mlc-ai/web-stable-diffusion,10,[Notebook] Merge walkthrough.ipynb and the TVMCon notebook,2023-03-17 00:47:21,https://github.com/mlc-ai/web-stable-diffusion/pull/10
mlc-ai/web-stable-diffusion,12,Fix typo in stable_diffusion.js,2023-03-17 15:42:47,https://github.com/mlc-ai/web-stable-diffusion/pull/12
mlc-ai/web-stable-diffusion,14,Leverage async shader loading,2023-03-22 01:55:35,https://github.com/mlc-ai/web-stable-diffusion/pull/14
mlc-ai/web-stable-diffusion,15,Remove gputil dependency and minor cleanup,2023-03-28 22:28:23,https://github.com/mlc-ai/web-stable-diffusion/pull/15
mlc-ai/web-stable-diffusion,19,"Fix typo with double ""the""",2023-04-17 13:30:59,https://github.com/mlc-ai/web-stable-diffusion/pull/19
mlc-ai/web-stable-diffusion,20,Update README.md,2023-04-17 18:03:00,https://github.com/mlc-ai/web-stable-diffusion/pull/20
mlc-ai/web-stable-diffusion,23,Fixes per changes in mlc-ai/relax,2023-04-22 03:58:28,https://github.com/mlc-ai/web-stable-diffusion/pull/23
mlc-ai/web-stable-diffusion,29,Support importing SD 2.1,2023-05-09 10:42:32,https://github.com/mlc-ai/web-stable-diffusion/pull/29
mlc-ai/web-stable-diffusion,42,Fix database to include the purity field,2023-06-20 01:54:42,https://github.com/mlc-ai/web-stable-diffusion/pull/42
mlc-ai/web-stable-diffusion,47,Update README.md fix minor error typo,2023-07-18 10:20:01,https://github.com/mlc-ai/web-stable-diffusion/pull/47
mlc-ai/web-stable-diffusion,51,Added windows and Macos commands respectively ,2023-08-21 18:46:33,https://github.com/mlc-ai/web-stable-diffusion/pull/51
mlc-ai/web-stable-diffusion,52,Add history view with downloads to demo application,2023-08-30 20:38:54,https://github.com/mlc-ai/web-stable-diffusion/pull/52
metaphorsystems/metaphor-python,1,Add API Reference and search + find_similar docstrings,2023-07-31 22:56:55,https://github.com/metaphorsystems/metaphor-python/pull/1
metaphorsystems/metaphor-python,2,Fixes api method documentation.,2023-08-02 17:20:20,https://github.com/metaphorsystems/metaphor-python/pull/2
metaphorsystems/metaphor-python,3,Fixed small typo in Search Request example,2023-08-15 16:50:55,https://github.com/metaphorsystems/metaphor-python/pull/3
metaphorsystems/metaphor-python,5,fixed incorrect description of type arg in metaphor.search,2023-08-26 21:17:35,https://github.com/metaphorsystems/metaphor-python/pull/5
metaphorsystems/metaphor-python,7,"Reformatting of api.py, addition of extra examples, and inclusion of additional documentation in the README.",2023-09-23 09:04:38,https://github.com/metaphorsystems/metaphor-python/pull/7
metaphorsystems/metaphor-python,8,Removal of Exposed API Key from Example,2023-10-01 10:19:25,https://github.com/metaphorsystems/metaphor-python/pull/8
metaphorsystems/metaphor-python,9,Update README.md,2023-10-06 08:24:25,https://github.com/metaphorsystems/metaphor-python/pull/9
MikaelJG/textract,1,"feat: add keywords support, and more",2023-08-28 18:31:02,https://github.com/MikaelJG/textract/pull/1
plantoncloud/kube-client-go-aws-credential-plugin,1,implemented functionality to generate credentials,2023-08-30 09:42:03,https://github.com/plantoncloud/kube-client-go-aws-credential-plugin/pull/1
dantebarbieri/pi-picture-frame,3,Add code from ChatGPT,2023-07-11 02:57:45,https://github.com/dantebarbieri/pi-picture-frame/pull/3
chitalian/gptask,2,Fix: recursive/glob support,2023-07-24 18:09:25,https://github.com/chitalian/gptask/pull/2
bancaditalia/black-it,1,"readme: change doc description, update link to black-it logo, add a pypi badge",2022-05-25 09:53:11,https://github.com/bancaditalia/black-it/pull/1
bancaditalia/black-it,2,[WIP] Samplers refactoring,2022-06-10 12:59:52,https://github.com/bancaditalia/black-it/pull/2
bancaditalia/black-it,3,Change random seed interface,2022-06-11 15:34:46,https://github.com/bancaditalia/black-it/pull/3
bancaditalia/black-it,4,[WIP] Update `BaseSampler` interface,2022-06-12 19:28:44,https://github.com/bancaditalia/black-it/pull/4
bancaditalia/black-it,5,workflows/docs: added a test on a Jupyter notebook example,2022-06-20 16:20:36,https://github.com/bancaditalia/black-it/pull/5
bancaditalia/black-it,6,Improve typing of parameter bounds and precisions ,2022-06-20 17:28:06,https://github.com/bancaditalia/black-it/pull/6
bancaditalia/black-it,7,updated version in toml and updated lock file,2022-06-21 08:30:32,https://github.com/bancaditalia/black-it/pull/7
bancaditalia/black-it,8,JOSS paper minor improvements,2022-06-28 19:43:14,https://github.com/bancaditalia/black-it/pull/8
bancaditalia/black-it,9,dependencies: regenerate poetry.lock,2022-08-25 14:00:07,https://github.com/bancaditalia/black-it/pull/9
bancaditalia/black-it,10,Improved documentation,2022-08-29 15:32:04,https://github.com/bancaditalia/black-it/pull/10
bancaditalia/black-it,11,add codecoverage integration,2022-08-29 15:46:33,https://github.com/bancaditalia/black-it/pull/11
bancaditalia/black-it,12,examples: add basic calibration of AR model written in Java,2022-09-05 15:51:39,https://github.com/bancaditalia/black-it/pull/12
bancaditalia/black-it,13,Simplification of CIs,2022-09-08 12:45:47,https://github.com/bancaditalia/black-it/pull/13
bancaditalia/black-it,14,chore: update ipywidgets version in pyproject.toml to ^8.0.0.,2022-09-09 10:23:41,https://github.com/bancaditalia/black-it/pull/14
bancaditalia/black-it,15,CIs: add upload of codecoverage to Codecov,2022-09-09 11:55:11,https://github.com/bancaditalia/black-it/pull/15
bancaditalia/black-it,16,readme: add Codecov badge,2022-09-09 12:13:22,https://github.com/bancaditalia/black-it/pull/16
bancaditalia/black-it,17,Particle swarm sampler,2022-09-28 08:30:19,https://github.com/bancaditalia/black-it/pull/17
bancaditalia/black-it,18,Update poetry.lock,2022-09-28 08:56:42,https://github.com/bancaditalia/black-it/pull/18
bancaditalia/black-it,19,MCS code,2022-10-14 13:24:20,https://github.com/bancaditalia/black-it/pull/19
bancaditalia/black-it,20,MCS code with comments,2022-10-27 10:13:48,https://github.com/bancaditalia/black-it/pull/20
bancaditalia/black-it,21,Update paper-md to include JATS code for subfigures,2022-11-03 10:37:31,https://github.com/bancaditalia/black-it/pull/21
bancaditalia/black-it,22,minor changes in paper/bib,2022-11-03 13:45:01,https://github.com/bancaditalia/black-it/pull/22
bancaditalia/black-it,23,Add joss references,2022-11-04 10:24:09,https://github.com/bancaditalia/black-it/pull/23
bancaditalia/black-it,24,add filters before loss function computation,2022-11-18 16:43:05,https://github.com/bancaditalia/black-it/pull/24
bancaditalia/black-it,25,calibrator: add sim_length param to Calibrator constructor,2022-11-21 13:56:10,https://github.com/bancaditalia/black-it/pull/25
bancaditalia/black-it,26,fix: add coordinate_filters to concrete loss classes,2022-11-21 14:53:12,https://github.com/bancaditalia/black-it/pull/26
bancaditalia/black-it,27,Use tables to append to series_samp array,2022-11-22 11:33:31,https://github.com/bancaditalia/black-it/pull/27
bancaditalia/black-it,28,Add CORS sampler,2022-11-30 13:32:48,https://github.com/bancaditalia/black-it/pull/28
bancaditalia/black-it,29,Improve best batch and random forest classes,2022-11-30 14:12:19,https://github.com/bancaditalia/black-it/pull/29
bancaditalia/black-it,30,Add xgboost sampler,2022-12-11 15:29:09,https://github.com/bancaditalia/black-it/pull/30
bancaditalia/black-it,31,Refactoring and improvement of msm covariance matrices,2022-12-12 15:34:22,https://github.com/bancaditalia/black-it/pull/31
bancaditalia/black-it,32,bump version to 0.2.0,2022-12-21 10:45:37,https://github.com/bancaditalia/black-it/pull/32
bancaditalia/black-it,33,samplers: add MLSurrogateSampler base class,2022-12-21 15:24:25,https://github.com/bancaditalia/black-it/pull/33
bancaditalia/black-it,34,Update poetry.lock,2023-01-03 10:57:27,https://github.com/bancaditalia/black-it/pull/34
bancaditalia/black-it,35,xgboost: add clipping of loss values to the float32 limits,2023-01-13 10:31:18,https://github.com/bancaditalia/black-it/pull/35
bancaditalia/black-it,37,bump version to 0.2.1,2023-02-06 09:48:26,https://github.com/bancaditalia/black-it/pull/37
bancaditalia/black-it,38,"losses: add likelihood loss and test, improve base loss",2023-03-06 11:05:17,https://github.com/bancaditalia/black-it/pull/38
bancaditalia/black-it,39,Add `BaseSeedable` class.,2023-03-16 12:32:09,https://github.com/bancaditalia/black-it/pull/39
bancaditalia/black-it,40,chore: poetry.lock update,2023-03-16 14:03:57,https://github.com/bancaditalia/black-it/pull/40
bancaditalia/black-it,41,`tox.ini` refactoring,2023-03-16 15:17:30,https://github.com/bancaditalia/black-it/pull/41
bancaditalia/black-it,42,chore: update PR request template,2023-03-16 15:26:31,https://github.com/bancaditalia/black-it/pull/42
bancaditalia/black-it,43,Update copyright notice for year 2023,2023-03-16 15:57:53,https://github.com/bancaditalia/black-it/pull/43
bancaditalia/black-it,44,Fix spelling errors in `HISTORY.md` returned by `scripts/spell-check.sh -r`,2023-03-16 16:19:11,https://github.com/bancaditalia/black-it/pull/44
bancaditalia/black-it,45,Add extras mechanism for finer-grained dependency selection,2023-03-16 19:09:58,https://github.com/bancaditalia/black-it/pull/45
bancaditalia/black-it,46,Upgrade dependencies,2023-03-17 14:20:57,https://github.com/bancaditalia/black-it/pull/46
bancaditalia/black-it,47,Enable CI on `macos-latest`,2023-03-17 19:59:37,https://github.com/bancaditalia/black-it/pull/47
