Repository,Min Date,Max Date,Range,Number of PRs,PR from GitHub,Difference
daeuniverse/dae-wing,2023-08-19,2023-09-02,15,1,3,2
FlorianWoelki/obsidian-symbols-prettifier,2023-08-16,2023-08-30,15,1,1,0
labdao/plex,2023-06-28,2023-07-12,15,2,13,11
mlc-ai/web-stable-diffusion,2023-08-23,2023-09-06,15,1,1,0
ActivityWatch/aw-webui,2023-06-15,2023-06-29,15,1,3,2
aiplanethub/genai-stack,2023-08-22,2023-09-05,15,1,9,8
Sambath-Kumar-M/Portfolio,2023-08-19,2023-09-02,15,1,2,1
open-learning-exchange/myplanet,2023-07-10,2023-07-27,18,9,26,17
xebia-functional/xef,2023-08-15,2023-08-29,15,1,34,33
poki/netlib,2023-08-14,2023-08-28,15,1,4,3
tinygrad/tinygrad,2023-08-17,2023-08-31,15,1,133,132
metaphorsystems/metaphor-python,2023-08-19,2023-09-02,15,1,1,0
tisztamo/Junior,2023-07-30,2023-08-24,26,2,11,9
MikaelJG/textract,2023-08-21,2023-09-04,15,1,1,0
plantoncloud/kube-client-go-aws-credential-plugin,2023-08-23,2023-09-06,15,1,1,0
KomodoPlatform/komodo-wallet-mobile,2023-06-13,2023-06-27,15,1,11,10
QRTaxi/QRTaxi_Web,2023-08-05,2023-08-20,16,2,46,44
MERLTech/MERL-Center-public,2023-05-03,2023-05-17,15,1,3,2
SSWConsulting/SSW.Rules.Content,2023-07-31,2023-08-14,15,1,168,167
Stivaros/blog,2023-07-20,2023-08-03,15,1,3,2
daeuniverse/dae,2023-08-18,2023-09-01,15,1,9,8
microsoft/visionmetrics,2023-08-10,2023-08-24,15,1,8,7
comfyanonymous/ComfyUI,2023-07-28,2023-08-11,15,1,28,27
IararIV/karaok.ai,2023-07-09,2023-07-23,15,1,3,2
dantebarbieri/pi-picture-frame,2023-07-04,2023-07-18,15,1,1,0
PYT-Acadamy/PYT-Acadamy.github.io,2023-07-14,2023-07-28,15,1,27,26
Email-Generation/email_generation,2023-08-03,2023-08-17,15,1,3,2
jojazpeitia/skinguessr,2023-07-11,2023-07-25,15,1,22,21
sleepyRias/BetterSteam,2023-07-17,2023-07-31,15,1,11,10
radix-vue/radix-vue,2023-06-21,2023-07-05,15,1,70,69
RupertBenWiser/Web-Environment-Integrity,2023-07-14,2023-07-28,15,1,15,14
n-koga96/practice-React-example-1,2023-06-02,2023-06-16,15,1,0,1
chitalian/gptask,2023-07-17,2023-07-31,15,1,1,0
GaloyMoney/galoy-mobile,2023-06-09,2023-07-03,25,2,119,117
bbelderbos/htmx-demo,2023-07-11,2023-07-25,15,1,4,3
sarcophagus-org/sarcophagus-v2-sdk,2023-05-30,2023-06-13,15,1,7,6
aemartinez/gpt-latex-translator,2023-06-30,2023-07-14,15,1,3,2
Feijai/Lunar,2023-06-12,2023-06-26,15,1,11,10
ECMaker/blog,2023-07-09,2023-07-23,15,1,5,4
bancaditalia/black-it,2023-07-03,2023-07-17,15,1,1,0
app-sre/qontract-reconcile,2023-06-26,2023-07-10,15,1,60,59
mlhmz/family-task-tracking,2023-06-07,2023-06-21,15,1,29,28
