Repository,PR from GitHub,Number of ChatGPT PRs,No of Non ChatGPT PRs
FlorianWoelki/obsidian-symbols-prettifier,1,1,0
mlc-ai/web-stable-diffusion,1,1,0
metaphorsystems/metaphor-python,1,1,0
MikaelJG/textract,1,1,0
plantoncloud/kube-client-go-aws-credential-plugin,1,1,0
dantebarbieri/pi-picture-frame,1,1,0
chitalian/gptask,1,1,0
bancaditalia/black-it,1,1,0
AGnias47/AGnias47.github.io,1,1,0
mcagov/beacons,1,1,0
hoshotakamoto/banzukesurfing,18,15,3
VOICEVOX/pyopenjtalk,1,1,0
Wissididom/Bonbon-Reminder-StreamElements,1,1,0
FixMyBerlin/atlas-app,1,1,0
laravel-json-api/core,1,1,0
jefftriplett/frontmatter-cli,1,1,0
ryoikegata/template-ph3-website,1,1,0
StreamSG/ABCWorkshop,1,1,0
HinanoOno/template-ph3-website,1,1,0
